 m n lenL1 lenS1 Hright1 Hleft1 Area1 CosA1 lenL2 lenS2 Hright2 Hleft2 Area2 CosA2 Dcen Datom Dcenp1 Dcenp2 CosL CosS CosN CosO AreaPJ
    4  879    1.37123    1.01594    0.26791    1.07268    0.85026    0.99688    1.40195    1.07380    0.29549    1.15510    0.90217    0.99552    0.67122    0.22696   -0.26330    0.09551    0.95300    0.53464   -0.08861   -0.94185   -0.08543
    4  968    1.37123    1.01594    0.26791    1.07268    0.85026    0.99688    1.38473    1.08294    0.25575    1.13202    0.88113    0.87385    1.36062    0.43022   -0.62305   -0.18342   -0.94073   -0.95357   -0.19014    0.78882    0.18163
    4 1425    1.37123    1.01594    0.26791    1.07268    0.85026    0.99688    1.42826    1.11129    0.26898    1.16460    0.93966    0.98578    1.58696    0.49977    0.92749   -0.85449   -0.28521   -0.60898   -0.14193    0.36859    0.11638
    4 1527    1.37123    1.01594    0.26791    1.07268    0.85026    0.99688    1.41758    1.09364    0.27890    1.15126    0.93500    0.99648    0.55728    0.27270    0.54032   -0.05750    0.97002    0.66478    0.02550   -0.22104    0.02619
    4 1576    1.37123    1.01594    0.26791    1.07268    0.85026    0.99688    1.40096    1.09563    0.25015    1.12066    0.93204    0.95725    0.58904    0.23567    0.21728    0.15962    0.98342    0.99432    0.21551    0.94838    0.21757
    4 1714    1.37123    1.01594    0.26791    1.07268    0.85026    0.99688    1.42247    1.09963    0.27461    1.14839    0.94965    0.99285    0.51057    0.25158    0.24632    0.48665    0.92666    0.97318    0.11825    0.47409    0.12063
    4 1827    1.37123    1.01594    0.26791    1.07268    0.85026    0.99688    1.39900    1.10690    0.24872    1.13765    0.92275    0.90714    1.43015    0.48550    0.30756    0.04843    0.65700   -0.48378    0.13021   -0.97537    0.08849
    4 2136    1.37123    1.01594    0.26791    1.07268    0.85026    0.99688    1.42691    1.09468    0.28830    1.16132    0.94238    0.99892    1.59981    0.46563    0.77714    0.89580   -0.09030   -0.06983    0.17005   -0.07892   -0.16757
    5   22    1.41338    1.12070    0.26337    1.17120    0.92878    0.92041    1.35153    1.07251    0.26419    1.10044    0.90759    0.96511    1.59432    0.41391    0.35628    0.04566   -0.73009   -0.96523   -0.03523    0.16542    0.03553
    5   25    1.41338    1.12070    0.26337    1.17120    0.92878    0.92041    1.42846    1.11924    0.25753    1.15831    0.94892    0.97606    1.75134    0.49645    0.20204    0.94140   -0.60753   -0.86275    0.02593   -0.03882   -0.02673
