m n xshort ynoraml zshort anglelong angleshort anglenormal
   18  302    0.44479    0.37885    0.10210    0.42981    2.63014    2.85625
   18  350    0.37363    0.60201    1.40163    2.78484    1.14096    2.06570
   18  576   -0.30734    0.80737    1.14847    0.87167    2.61987    2.11007
   18  644   -0.27725    0.28175    1.35695    0.71361    1.86348    1.70654
   18  672   -0.75808    0.18987    1.48322    2.98703    2.98907    0.13139
   18  833    0.24064    0.64581    1.22263    2.14256    0.37566    2.13856
   18  858   -0.41026    0.43012    0.00311    0.10355    0.48243    0.48905
   18 1065    0.10247    0.18931    1.67024    2.86833    1.84095    1.33049
   18 1138    0.68734    0.31308    1.35883    2.85160    1.65305    1.53027
   18 1170    0.45650    0.12300    0.15139    3.00758    1.86678    1.28135
   18 1220    0.20162    0.21407    1.40645    0.84944    2.70819    2.17997
   18 1510   -0.04786    0.46207    0.26198    0.42033    2.05747    2.15787
   18 1598   -0.03015    0.38216    1.51666    2.86191    1.86440    1.31696
   18 1893    0.01978    0.48610    0.20755    2.77882    1.17496    2.03830
   18 2064    0.31257    0.03418    1.66956    2.74947    0.98733    2.24520
   18 2139   -0.78411    0.32331    1.31930    2.23897    0.40911    2.14936
   19   77   -0.17511    0.27238    1.72179    2.92841    1.36616    1.76694
   19  373   -0.63046    0.48510    1.54007    2.67656    0.78053    2.50628
   19  520   -0.48701    0.16967    0.06488    0.20895    1.82913    1.85169
   19  559   -0.42857    0.14992    0.39540    2.59351    1.97699    1.24964
   19  574   -0.48777    0.54148    1.05358    1.45365    1.02407    1.93571
   19  963    0.09846    0.48948    0.22823    0.43485    1.98769    2.06918
   19  976    0.23383    0.37306    1.50002    0.37242    2.65227    2.71661
   19 1092    0.02877    0.45833    0.05060    2.94766    1.16365    1.99624
   19 1187   -0.47335    0.35685    0.14671    2.76222    0.48046    2.81415
   19 1370   -0.50411    0.27386    0.18606    0.10141    0.09553    0.13431
   19 1731    0.58120    0.40303    0.89260    2.64893    2.10125    1.15024
   19 1773    0.48567    0.07007    1.50944    2.80060    0.83313    2.38889
   19 1842   -0.22843    0.27702    1.53858    0.27596    2.16009    2.14398
   20  107    0.38183    0.30397    0.30310    2.96098    2.89211    0.17826
   20  570   -0.73763    0.23411    1.30093    2.86634    1.47510    1.63253
   20  647   -0.31803    0.45194    1.48180    0.30971    1.82500    1.87449
   20  747   -0.34931    0.47527    0.14079    2.85339    0.70463    2.48409
   20  881   -0.78321    0.50817    1.11068    0.25867    2.57715    2.64268
   20  999    0.64633    0.41113    1.48976    0.26471    1.37168    1.40134
   20 1019    0.12300    0.51622    1.54572    0.26386    0.22793    0.31404
   20 1104   -0.50288    0.02009    1.44299    0.18687    0.52174    0.51295
   20 1208    0.14316    0.42395    1.33827    0.27289    0.54344    0.57810
   20 1227   -0.54799    0.17801    0.31127    0.37741    2.34689    2.45054
   20 1271   -0.53626    0.28066    0.08040    2.97571    3.09235    0.15929
   20 1312    0.63643    0.29619    1.27928    0.21691    0.41839    0.45076
   20 1362    0.42526    0.21788    0.25517    0.22431    0.95225    0.93040
   20 1480   -0.00487    0.02934    1.59654    2.84018    1.83038    1.35544
   20 1571   -0.49232    0.83991    0.53669    1.48239    1.29079    0.84646
   20 1712   -0.26390    0.00519    1.57911    2.68922    2.53903    0.71151
   20 1919    0.00319    0.48427    0.05350    0.51405    1.94835    2.08633
   21  186    0.43942    0.92858    0.82509    1.47792    2.71008    1.60193
   21  234    0.23810    0.95968    0.37653    1.38193    2.54890    1.78085
   21  269   -0.07594    0.71624    0.87851    1.55144    0.33499    1.49806
   21  296   -0.77570    0.79254    0.31870    1.10265    0.69691    0.89562
   21  379    0.27203    0.32841    1.22416    1.22086    2.96118    1.92304
   21  725   -0.15034    0.85024    1.14056    1.29451    0.41204    1.28988
   21  738    0.13139    1.15750    0.53877    1.36476    2.49790    1.81085
   21  767   -0.08443    1.07291    0.07820    1.44881    0.65950    1.65683
   21  818   -0.56177    0.08267    0.18575    2.86669    2.27636    0.91318
   21  819   -0.49295    0.03564    1.00980    2.66535    0.37912    2.67742
   21  851   -0.37265    0.94759    0.43334    1.60878    0.47730    1.67650
   21 1044    0.31577    0.73654    0.08063    1.86049    1.59309    2.28261
   21 1100   -0.01621    0.73786    0.51068    2.08140    2.21655    0.92379
   21 1140   -0.85631    0.49254    0.30643    1.52516    2.11045    1.21028
   21 1202   -0.62507    0.49834    0.76204    1.59125    0.20427    1.57643
   21 1426   -0.12205    1.02403    0.75997    1.69113    0.49469    1.64529
   21 1555   -0.26009    0.00909    1.18866    0.38895    1.56903    1.55189
   21 1558    0.80823    0.83770    0.47909    1.36967    2.37633    1.94429
   21 1758    1.02142    0.51602    0.15922    1.51885    0.56891    1.54603
   21 1921    0.48463    0.40291    0.33495    2.78036    2.56301    0.67398
   21 2069   -0.48029    0.73487    0.63945    2.02840    2.42119    0.91138
   21 2102    0.57283    0.88937    0.00431    1.52560    0.61963    1.43946
   22  211    0.75741    0.69815    0.14314    1.53810    1.87232    2.27819
   22  441    0.86484    0.75087    0.75179    1.78441    2.02716    0.82456
   22  592   -0.85078    0.33268    0.87753    1.53023    1.20832    2.20182
   22  605   -0.88584    0.33275    0.26448    1.85440    1.43637    0.95668
   22 1186    0.78313    0.40701    1.10641    2.62593    1.00269    2.09345
   22 1209   -0.32491    0.81083    0.18782    1.53632    1.18103    2.15082
   22 1268    0.36376    0.34027    0.48054    0.15091    0.14143    0.05920
   22 1358    0.87536    0.20329    0.33595    1.58103    1.20471    2.15447
   22 1447    0.22488    0.10051    1.16257    0.91597    2.42473    2.45518
   22 1762    0.06658    0.46053    1.74522    2.86337    2.27329    0.84138
   22 1794    0.38102    0.85118    1.00632    1.57632    1.29920    2.22023
   22 1882   -0.69756    0.71017    0.50468    1.26169    0.99043    0.77014
   22 1890    0.30319    0.69730    0.42361    1.09594    1.58559    1.03049
   22 1904   -0.71412    0.10557    1.09930    0.63388    2.63347    2.76447
   22 2022   -0.46915    0.11969    0.26614    2.79239    1.93602    1.24004
   22 2048    0.46940    0.47719    1.39820    0.55315    1.16836    1.32322
   22 2096   -0.05879    0.56006    0.20021    2.59106    1.26589    2.03277
   23   77   -0.41623    0.81476    0.63772    1.23762    0.89560    1.41514
   23  110   -0.65250    0.43420    0.97169    1.63147    2.17850    1.16469
   23  341   -0.51101    0.43118    0.25244    1.52633    1.97057    2.27722
   23  368   -0.72957    0.41552    0.76654    1.14310    1.48986    0.84337
   23  559    0.90626    0.08277    0.76917    1.54532    2.10025    1.39286
   23  914   -0.51495    0.83047    1.07500    1.09642    0.55466    1.00184
   23 1046    0.73921    0.20704    0.31671    1.55527    1.65851    2.67440
   23 1088   -0.26992    0.45455    0.04836    2.78491    0.80762    2.41193
   23 1092   -0.56928    0.36655    1.34646    1.15079    0.88046    1.50373
   23 1183   -0.91425    0.02689    0.93091    1.41303    1.77409    2.66250
   23 1370   -0.99444    0.57951    1.04667    2.07021    1.79425    0.78670
   23 1401    0.30921    0.37783    0.15179    0.15221    0.47019    0.49493
   23 1499    0.69828    0.00831    1.23366    1.50345    1.17361    1.44624
   23 1713    0.65407    0.20059    0.05383    0.57303    2.58734    2.99907
   23 1804   -0.00805    0.68993    1.29468    0.91881    1.81046    1.50199
   23 1841   -0.25587    0.37081    0.35395    2.77423    0.45282    2.87715
   23 1907    0.58837    0.00974    0.20497    0.09653    0.43112    0.42057
   24   52    0.27964    0.05979    1.43586    3.01917    2.81455    0.33749
   24   78    0.04557    0.52101    0.05917    0.29722    1.25045    1.25650
   24  312   -0.10909    0.15011    1.59064    0.27050    1.84609    1.86475
   24  415   -0.51013    0.65343    1.20024    1.50189    0.48381    1.45368
   24  577    0.67031    0.71666    0.29565    1.23901    1.20533    1.29750
   24  583   -0.03008    0.46157    1.44521    0.22273    1.33115    1.35650
   24  630    0.33871    0.59772    1.30602    0.11133    1.19539    1.20148
   24  934    1.05144    0.48596    0.52308    1.41432    2.11294    1.25451
   24  935    0.03490    0.45953    0.39542    2.85169    2.05352    1.13444
   24 1041    0.29515    0.40065    1.37554    0.22384    2.03520    2.02473
   24 1082   -0.39095    0.10667    0.75514    2.99760    2.09289    1.05221
   24 1237    0.50442    0.27724    0.03786    2.81255    0.46766    2.73401
   24 1344   -0.41554    0.22737    0.09747    2.94983    1.01356    2.14585
   24 1350    0.52481    0.07979    1.66365    0.31267    0.89148    0.88550
   24 1761   -0.49182    0.84511    0.31820    2.74316    1.83818    1.26999
   24 1898   -0.14308    0.20332    1.13286    1.46318    1.75313    1.87397
   24 2014    1.22401    0.37077    0.06579    1.27139    2.28941    1.92178
   24 2147   -0.56103    0.34621    0.11200    0.20895    2.83224    2.90505
   25  274    0.96189    0.01963    0.80982    1.56646    1.34940    1.68917
   25  609   -0.49212    0.07726    0.11899    2.83734    1.90470    1.28436
   25  814    0.81540    0.84563    1.03225    2.15877    2.72780    1.01405
   25  838   -0.45994    0.37863    0.03696    0.17262    0.66875    0.68986
